Dates,Volume,Price
2018-01-04,5989990.57,0.745225
2018-01-05,8628831.12,0.727425
2018-01-06,6815821.78,0.7615749999999999
2018-01-07,11083836.45,0.7969499999999999
2018-01-08,8478473.35,0.8393249999999999
2018-01-09,31851249.3,1.090125
2018-01-10,28542367.0,1.098725
2018-01-11,10400725.32,1.100225
2018-01-12,8077492.17,1.1107
2018-01-13,6068288.52,0.9080999999999999
2018-01-14,8894627.96,0.815525
2018-01-15,6086945.29,0.554525
2018-01-16,4750285.51,0.514675
2018-01-17,4887383.28,0.562325
2018-01-18,5394299.12,0.6081
2018-01-19,13668782.39,0.77125
2018-01-20,5074159.27,0.685575
2018-01-21,3801004.26,0.57965
2018-01-22,3506068.86,0.56465
2018-01-23,3846935.16,0.5819
2018-01-24,18810983.66,0.622925
2018-01-25,8426692.0,0.649925
2018-01-26,3080574.6,0.6397
2018-01-27,4803185.32,0.6208
2018-01-28,3257708.34,0.564825
2018-01-29,3170344.59,0.48882499999999995
2018-01-30,3164529.01,0.466075
2018-01-31,3530234.86,0.383775
2018-02-01,2724582.66,0.33220000000000005
2018-02-02,2739024.7,0.3563
2018-02-03,2004310.18,0.30720000000000003
2018-02-04,1766356.82,0.22855
2018-02-05,5975202.73,0.2636
2018-02-06,3088184.43,0.27625
2018-02-07,1117375.36,0.300575
2018-02-08,2247812.77,0.31795
2018-02-09,1972345.03,0.30412500000000003
2018-02-10,1200229.77,0.26639999999999997
2018-02-11,1260069.48,0.288225
2018-02-12,1104174.56,0.26990000000000003
2018-02-13,1700926.42,0.2999
2018-02-14,3508208.11,0.32405
2018-02-15,1521123.96,0.3296
2018-02-16,2206758.17,0.36805
2018-02-17,1751083.76,0.33149999999999996
2018-02-18,1966257.81,0.3379
2018-02-19,1775663.66,0.30674999999999997
2018-02-20,1605112.85,0.26470000000000005
2018-02-21,1133990.16,0.2428
2018-02-22,10065606.29,0.29169999999999996
2018-02-23,7716654.01,0.27797499999999997
2018-02-24,1632089.13,0.25699999999999995
2018-02-25,1283078.19,0.258825
2018-02-26,2362450.39,0.26425
2018-02-27,1022635.3,0.24467499999999998
2018-02-28,1351677.01,0.25137499999999996
2018-03-01,2754739.25,0.264825
2018-03-02,4983478.81,0.29915
2018-03-03,2307707.15,0.3018
2018-03-04,37056.18,0.29835
